era,lightgbm_None_1_1140_20-baseline
2021-03-05,-0.03935004744929197
2021-03-12,0.03279180882435394
2021-03-19,0.05181146138847077
2021-03-26,0.05519286492201642
2021-04-02,0.046454945378013236
2021-04-09,0.0456375484818952
2021-04-16,0.05353090154620162
2021-04-23,0.03825159296600603
2021-04-30,-0.021805616372709814
2021-05-07,-0.024170476289518402
2021-05-14,-0.04651861837447324
2021-05-21,-0.06224975830860114
2021-05-28,-0.09317564335026048
2021-06-04,-0.013909854441801367
2021-06-11,0.008973401959010543
2021-06-18,0.017853553273041306
2021-06-25,0.04885975095378382
2021-07-02,0.04497458490045899
2021-07-09,0.028776992233221967
2021-07-16,0.034608057322640974
2021-07-23,0.04507265112532076
2021-07-30,-0.005184466220118098
2021-08-06,-0.0037003478763998083
2021-08-13,0.0003079226081482659
2021-08-20,0.0246845343509903
