,Numerai-MLP_None_1_2000_10-random-87
2018-08-24,0.02017274984331715
2018-08-31,0.014059535011970756
2018-09-07,0.016377811940841657
2018-09-14,0.033795893215544916
2018-09-21,0.023714278633867516
2018-09-28,0.029626136030336463
2018-10-05,0.022628719633422962
2018-10-12,0.0250463988090225
2018-10-19,0.008962737560126373
2018-10-26,0.01457878439006267
2018-11-02,0.012651029932444765
2018-11-09,0.03277088247332836
2018-11-16,0.04861094350262374
2018-11-23,0.043564024651302054
2018-11-30,0.050083553737019906
2018-12-07,0.04100874268233892
2018-12-14,0.03929572220739614
2018-12-21,0.0430743044974323
2018-12-28,0.04725895220180935
2019-01-04,0.05632649509019014
2019-01-11,0.03647696553240848
2019-01-18,0.024968372251256112
2019-01-25,0.0155147241221102
2019-02-01,0.02701582883695436
2019-02-08,0.005545205296608144
