,lightgbm-gbdt_None_1_2000_10-random-89
2018-08-17,0.009193472468361132
2018-08-24,0.01496573323319673
2018-08-31,-0.002907633727455971
2018-09-07,-0.014401441292856693
2018-09-14,0.006777398600167846
2018-09-21,-0.0014089979152539438
2018-09-28,0.006259769321669157
2018-10-05,0.01618574757237392
2018-10-12,0.009576581732147682
2018-10-19,0.013409798784406611
2018-10-26,0.0113753355676894
2018-11-02,0.014469809984051007
2018-11-09,0.02014670160469861
2018-11-16,0.030596660968830673
2018-11-23,0.030098258981488546
2018-11-30,0.047790119742333166
2018-12-07,0.053215341174510704
2018-12-14,0.057672686661379945
2018-12-21,0.050344354576413064
2018-12-28,0.05780494534102605
2019-01-04,0.057247369283693665
2019-01-11,0.055685244390542836
2019-01-18,0.038669061421668406
2019-01-25,0.0067569037336460604
2019-02-01,0.004978202511085331
