,numerai_models_v4/lightgbm-dart_None_1_2000.parameters-random-19
2018-08-17,0.024521134119214916
2018-08-24,0.034576432511904585
2018-08-31,0.006707134067135813
2018-09-07,-0.008284694603230459
2018-09-14,0.022065145500473934
2018-09-21,0.016002705970299787
2018-09-28,0.03662012950175384
2018-10-05,0.0360168686787852
2018-10-12,0.031574278837494765
2018-10-19,0.015132750968986485
2018-10-26,0.006252134757160852
2018-11-02,0.011771857693910034
2018-11-09,0.024116774038140405
2018-11-16,0.04866494188097234
2018-11-23,0.05112347117154301
2018-11-30,0.05155215089495902
2018-12-07,0.03405122084529281
2018-12-14,0.030222568290621643
2018-12-21,0.03341152098893501
2018-12-28,0.053721758700722856
2019-01-04,0.055962388929926596
2019-01-11,0.05162533263131449
2019-01-18,0.021979105881375926
2019-01-25,0.010449316942021742
2019-02-01,0.007158222805137867
