,numerai_models_v4/lightgbm-gbdt_None_1_2000.parameters-random-0
2018-08-10,0.03102808870336151
2018-08-17,0.009857288771678076
2018-08-24,0.02541730386592111
2018-08-31,0.008371281714474989
2018-09-07,-0.012658993495117135
2018-09-14,0.011298060409554788
2018-09-21,0.011929142659034204
2018-09-28,0.010658040201855012
2018-10-05,0.03345643476751767
2018-10-12,0.012831383219563309
2018-10-19,0.004570182279449333
2018-10-26,0.005377126306688769
2018-11-02,0.008157148852711446
2018-11-09,0.014830414387187291
2018-11-16,0.031977779155668934
2018-11-23,0.04543700372944529
2018-11-30,0.04673878585937142
2018-12-07,0.03663388106179172
2018-12-14,0.03297201348810344
2018-12-21,0.04215534270528957
2018-12-28,0.046193854108195605
2019-01-04,0.04510533484530187
2019-01-11,0.0548665923373439
2019-01-18,0.027559959297494642
2019-01-25,0.01254613843419572
